Model,Input Channels,Variables,rmse_mean,rmse_std,mae_mean,mae_std,sharpness_mean,sharpness_std,distribution_dist_mean,distribution_dist_std,csi_230K_mean,csi_230K_std,freq_230K_mean,freq_230K_std,csi_220K_mean,csi_220K_std,freq_220K_mean,freq_220K_std,csi_210K_mean,csi_210K_std,freq_210K_mean,freq_210K_std
pair_T500_W500,2,"T500, W500",9.325245,3.2125561237335205,7.7049885,2.8394129276275635,1.3515261,0.7362184524536133,5.48455786193362,3.128735196015567,0.411548154353998,0.3281364505625331,0.4921680798174822,0.326426685063966,0.17558685458453227,0.18365851158001015,0.19621547996049987,0.19240135872889444,0.058294108108974924,0.10323623135603562,0.06262948207171315,0.0913806318385631
single_T500,1,T500,10.598255,4.062253475189209,9.3024435,3.8271217346191406,0.94886494,0.3434758484363556,8.513967794804412,3.910675404110491,0.42473728849059417,0.3540670272631137,0.4921680798174822,0.326426685063966,0.16958378957400125,0.18060766524716543,0.19621547996049987,0.19240135872889444,0.00034711687124190215,0.0016368293587823346,0.06262948207171315,0.0913806318385631
remove_IVT,4,"T500, T850, RH700, W500",9.080613,2.9459073543548584,7.60778,2.705349922180176,1.2598819,0.6009243130683899,5.746921737313593,3.0996959715939862,0.4292827284938297,0.34437821460830226,0.4921680798174822,0.326426685063966,0.16066811591686725,0.18133672112489668,0.19621547996049987,0.19240135872889444,0.05866456158779163,0.1133396257105521,0.06262948207171315,0.0913806318385631
remove_T500,4,"IVT, T850, RH700, W500",12.77665,5.194418430328369,10.440858,4.3870625495910645,2.2882414,1.2078945636749268,7.892622172804445,4.538349423904155,0.4455562176514483,0.3346495320527316,0.4921680798174822,0.326426685063966,0.1511276787144382,0.16905941686824702,0.19621547996049987,0.19240135872889444,0.0465321629834718,0.08596908394089911,0.06262948207171315,0.0913806318385631
triplet_T500_T850_W500,3,"T500, T850, W500",8.470817,3.273608446121216,7.1098285,2.9824609756469727,0.88599193,0.3861415982246399,5.661324950990826,3.249982463390955,0.4189039226314942,0.33999000353988384,0.4921680798174822,0.326426685063966,0.12311732837696333,0.15636011230028168,0.19621547996049987,0.19240135872889444,0.006893126175786082,0.030908930530397772,0.06262948207171315,0.0913806318385631
remove_T850,4,"IVT, T500, RH700, W500",8.758032,3.258967638015747,7.4945555,2.9231739044189453,0.85962015,0.3904901146888733,6.4890650979205065,3.042216001750047,0.41524247911012147,0.3368111680579563,0.4921680798174822,0.326426685063966,0.11805523397853179,0.13985562519263398,0.19621547996049987,0.19240135872889444,0.0009333160322418118,0.009226883173643041,0.06262948207171315,0.0913806318385631
triplet_IVT_T500_W500,3,"IVT, T500, W500",8.844035,3.126194715499878,7.5461807,2.8135626316070557,0.8114394,0.2679511308670044,6.6398807828362125,3.0196415883780694,0.42006360375662344,0.33821547939720137,0.4921680798174822,0.326426685063966,0.08425189492143612,0.11363451794018294,0.19621547996049987,0.19240135872889444,0.0,0.0,0.06262948207171315,0.0913806318385631
triplet_IVT_RH700_W500,3,"IVT, RH700, W500",8.7915535,3.0950071811676025,7.3441944,2.8188486099243164,1.0362483,0.3116350769996643,5.9653405075467845,3.1536620980891445,0.4428743704120243,0.31876266167317097,0.4921680798174822,0.326426685063966,0.06707015386116395,0.10730305941696615,0.19621547996049987,0.19240135872889444,0.002852534209013308,0.012670380808762129,0.06262948207171315,0.0913806318385631
single_W500,1,W500,8.65953,3.19555401802063,7.1967235,2.9739065170288086,0.7692696,0.22326679527759552,6.1905664985799245,3.287288926972914,0.40075921163924627,0.3165259542385008,0.4921680798174822,0.326426685063966,0.05778803933799292,0.12260746528782479,0.19621547996049987,0.19240135872889444,0.000987247059400921,0.008927772384827518,0.06262948207171315,0.0913806318385631
pair_IVT_RH700,2,"IVT, RH700",9.15142,3.2119877338409424,7.6831794,2.967642068862915,1.0701689,0.2588181793689728,6.051188438755772,3.4239090368847567,0.43509024202639296,0.31430081645805713,0.4921680798174822,0.326426685063966,0.04989773475730002,0.07971069352091044,0.19621547996049987,0.19240135872889444,9.953071897077577e-05,0.0010819920515352619,0.06262948207171315,0.0913806318385631
remove_W500,4,"IVT, T500, T850, RH700",8.672338,3.021322250366211,7.3737807,2.748194932937622,0.7353069,0.2855716049671173,6.470516585831174,2.8208186618813023,0.42660979807838384,0.3547776880727004,0.4921680798174822,0.326426685063966,0.04424993264436472,0.0863432285467366,0.19621547996049987,0.19240135872889444,0.00010484729792524369,0.0011694361674471027,0.06262948207171315,0.0913806318385631
all_variables,5,"IVT, T500, T850, RH700, W500",8.651703,2.8578429222106934,7.2867546,2.644862174987793,0.7837332,0.25815197825431824,6.425481508281223,2.853262839769824,0.4312402714861522,0.34000923086858525,0.4921680798174822,0.326426685063966,0.043346473813210676,0.07421631871308701,0.19621547996049987,0.19240135872889444,0.0026040789495346715,0.01142516019704438,0.06262948207171315,0.0913806318385631
remove_RH700,4,"IVT, T500, T850, W500",8.913107,3.3892035484313965,7.38858,2.981393337249756,1.0783963,0.3595835566520691,6.169103462075861,3.2058881888671764,0.40048350234941554,0.3238795042677624,0.4921680798174822,0.326426685063966,0.040838111612275324,0.09154447018949675,0.19621547996049987,0.19240135872889444,0.0008430950608888809,0.005811212989334237,0.06262948207171315,0.0913806318385631
pair_RH700_W500,2,"RH700, W500",8.578533,3.0819332599639893,7.0731664,2.767578363418579,0.9163768,0.25940778851509094,5.7384258871056515,3.0748558813808575,0.42812559259527766,0.31018257078961986,0.4921680798174822,0.326426685063966,0.029762892008982036,0.069996351890273,0.19621547996049987,0.19240135872889444,0.000666028175184488,0.004580748564537512,0.06262948207171315,0.0913806318385631
pair_IVT_T500,2,"IVT, T500",8.786027,3.2213728427886963,7.3878937,2.847952127456665,0.6402345,0.20184162259101868,6.371363595766155,2.991153574764476,0.41219311460814445,0.3392822903327184,0.4921680798174822,0.326426685063966,0.029489111596025595,0.06978427355354971,0.19621547996049987,0.19240135872889444,1.2598295357834624e-05,0.000139627399223534,0.06262948207171315,0.0913806318385631
